"","STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","water_date","PRCP","SNOW"
"1","US1ORLA0076","FLORENCE 0.9 NW, OR US",43.9956,-124.115,20.7,2007-12-22,2006-12-22,0.09,0
"2","US1ORLA0076","FLORENCE 0.9 NW, OR US",43.9956,-124.115,20.7,2007-12-23,2006-12-23,0.75,0
"3","US1ORLA0076","FLORENCE 0.9 NW, OR US",43.9956,-124.115,20.7,2007-12-24,2006-12-24,1.63,0
"4","US1ORLA0076","FLORENCE 0.9 NW, OR US",43.9956,-124.115,20.7,2007-12-25,2006-12-25,0.06,0
"5","US1ORLA0076","FLORENCE 0.9 NW, OR US",43.9956,-124.115,20.7,2007-12-26,2006-12-26,0.36,0
"6","US1ORLA0076","FLORENCE 0.9 NW, OR US",43.9956,-124.115,20.7,2007-12-27,2006-12-27,0.63,0
"7","US1ORLA0076","FLORENCE 0.9 NW, OR US",43.9956,-124.115,20.7,2007-12-28,2006-12-28,0.76,0
"8","US1ORLA0076","FLORENCE 0.9 NW, OR US",43.9956,-124.115,20.7,2007-12-29,2006-12-29,0.43,0
"9","US1ORLA0076","FLORENCE 0.9 NW, OR US",43.9956,-124.115,20.7,2007-12-30,2006-12-30,0.13,0
"10","US1ORLA0076","FLORENCE 0.9 NW, OR US",43.9956,-124.115,20.7,2007-12-31,2006-12-31,0,0
"11","US1ORLA0076","FLORENCE 0.9 NW, OR US",43.9956,-124.115,20.7,2008-10-01,2007-10-01,0,0
"12","US1ORLA0076","FLORENCE 0.9 NW, OR US",43.9956,-124.115,20.7,2008-10-02,2007-10-02,0.02,0
"13","US1ORLA0076","FLORENCE 0.9 NW, OR US",43.9956,-124.115,20.7,2008-10-03,2007-10-03,0.31,0
"14","US1ORLA0076","FLORENCE 0.9 NW, OR US",43.9956,-124.115,20.7,2008-10-04,2007-10-04,1.8,0
"15","US1ORLA0076","FLORENCE 0.9 NW, OR US",43.9956,-124.115,20.7,2008-10-05,2007-10-05,0.03,0
"16","US1ORLA0076","FLORENCE 0.9 NW, OR US",43.9956,-124.115,20.7,2008-10-06,2007-10-06,0.19,0
"17","US1ORLA0076","FLORENCE 0.9 NW, OR US",43.9956,-124.115,20.7,2008-10-07,2007-10-07,0.25,0
"18","US1ORLA0076","FLORENCE 0.9 NW, OR US",43.9956,-124.115,20.7,2008-10-08,2007-10-08,0.01,0
"19","US1ORLA0076","FLORENCE 0.9 NW, OR US",43.9956,-124.115,20.7,2008-10-09,2007-10-09,0,0
"20","US1ORLA0076","FLORENCE 0.9 NW, OR US",43.9956,-124.115,20.7,2008-10-10,2007-10-10,0.52,0
"21","US1ORLA0076","FLORENCE 0.9 NW, OR US",43.9956,-124.115,20.7,2008-10-11,2007-10-11,0.01,0
"22","US1ORLA0076","FLORENCE 0.9 NW, OR US",43.9956,-124.115,20.7,2008-10-12,2007-10-12,0,0
"23","US1ORLA0076","FLORENCE 0.9 NW, OR US",43.9956,-124.115,20.7,2008-10-13,2007-10-13,0,0
"24","US1ORLA0076","FLORENCE 0.9 NW, OR US",43.9956,-124.115,20.7,2008-10-14,2007-10-14,0,0
"25","US1ORLA0076","FLORENCE 0.9 NW, OR US",43.9956,-124.115,20.7,2008-10-15,2007-10-15,0,0
"26","US1ORLA0076","FLORENCE 0.9 NW, OR US",43.9956,-124.115,20.7,2008-10-16,2007-10-16,0.12,0
"27","US1ORLA0076","FLORENCE 0.9 NW, OR US",43.9956,-124.115,20.7,2008-10-17,2007-10-17,0.03,0
"28","US1ORLA0076","FLORENCE 0.9 NW, OR US",43.9956,-124.115,20.7,2008-10-18,2007-10-18,0,0
"29","US1ORLA0076","FLORENCE 0.9 NW, OR US",43.9956,-124.115,20.7,2008-10-19,2007-10-19,0,0
"30","US1ORLA0076","FLORENCE 0.9 NW, OR US",43.9956,-124.115,20.7,2008-10-20,2007-10-20,0,0
"31","US1ORLA0076","FLORENCE 0.9 NW, OR US",43.9956,-124.115,20.7,2008-10-21,2007-10-21,0.13,0
"32","US1ORLA0076","FLORENCE 0.9 NW, OR US",43.9956,-124.115,20.7,2008-10-22,2007-10-22,0,0
"33","US1ORLA0076","FLORENCE 0.9 NW, OR US",43.9956,-124.115,20.7,2008-10-23,2007-10-23,0,0
"34","US1ORLA0076","FLORENCE 0.9 NW, OR US",43.9956,-124.115,20.7,2008-10-24,2007-10-24,0,0
"35","US1ORLA0076","FLORENCE 0.9 NW, OR US",43.9956,-124.115,20.7,2008-10-25,2007-10-25,0,0
"36","US1ORLA0076","FLORENCE 0.9 NW, OR US",43.9956,-124.115,20.7,2008-10-26,2007-10-26,0,0
"37","US1ORLA0076","FLORENCE 0.9 NW, OR US",43.9956,-124.115,20.7,2008-10-27,2007-10-27,0,0
"38","US1ORLA0076","FLORENCE 0.9 NW, OR US",43.9956,-124.115,20.7,2008-10-28,2007-10-28,0,0
